Link,Diện tích,Hướng ban công,Hướng nhà,Khoảng giá,Mặt tiền,Nội thất,Pháp lý,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Đường vào
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-grand-marina-saigon/em-hiep-chuyen-ban-gio-hang-truc-tiep-chu-dau-tu-va-chuyen-nhuong-pr44301265,78 m²,,,33 tỷ,,Full nội thất.,Hợp đồng mua bán,2 phòng,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/nhan-dang-ky-uu-tien-giu-suat-chon-can-dep-huong-chinh-sach-gia-goc-va-csbh-uu-dai-tu-chu-dau-tu-pr44376294,75 m²,,,10 tỷ,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/cap-nhat-gio-hang-t10-gia-tot-1pn-5ty4-2pn-7ty9-3pn-11ty5-4pn-18ty-park-pr44245863,126 m²,Nam,Đông,"11,5 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,,
https://batdongsan.com.vn/ban-dat-duong-le-van-luong-xa-phuoc-kieng/-hem-thong-1181-kien-6-4x13-5-hem-o-to-xay-tu-do-pr44355148,86 m²,,,"6,7 tỷ","6,4 m",,Sổ đỏ/ Sổ hồng.,,,,7 m
https://batdongsan.com.vn/ban-dat-duong-tinh-lo-7-xa-an-nhon-tay/-mat-tien-kinh-doh-7-cu-chi-gia-1-79-ty-190m2-mat-tien-13m-so-rieng-pr44294481,190 m²,,,"1,79 tỷ",13 m,,Sổ đỏ/ Sổ hồng,,,,12 m
https://batdongsan.com.vn/ban-dat-duong-nguyen-duy-trinh-phuong-binh-trung-tay/-79m-4-5x17-5-shr-vuong-p-q2-6ty290-pr43862900,79 m²,,Đông,"6,29 tỷ","4,5 m",,Sổ đỏ/ Sổ hồng,,,,3 m
https://batdongsan.com.vn/ban-dat-duong-le-huu-kieu-phuong-binh-trung-tay/ban-du-an-tuoi-tre-p-quan-2-5-2x17m-so-do-gia-13-ty-pr44363819,"88,4 m²",,,13 tỷ,,,Sổ đỏ/ Sổ hồng,,,,12 m
https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-sy-phuong-1-23/ban-hxh-281-si-54m2-7-phong-ngu-5-tang-san-thuong-o-cho-dai-gia-dinh-sinh-song-pr44365225,"50,5 m²",,,"10,5 tỷ",,,Có sổ.,7 phòng,,5 tầng,
https://batdongsan.com.vn/ban-dat-duong-nguyen-binh-xa-nhon-duc/ban-80m2-gia-chi-3-85-ty-pr44230586,80 m²,,,"3,85 tỷ",7 m,,Sổ đỏ/ Sổ hồng,,,,7 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-co-giang/giam-300tr-chinh-chu-ban-quan-1-pr43742043,33 m²,,,"2,1 tỷ",,,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-hung-dao-phuong-1-15/can-goc-2-tientran-p1-q-5-dt-8x19-no-hau-8-2-m-cn-151m2-gia-72-ty-pr44357592,151 m²,,,72 tỷ,,,Sổ đỏ/ Sổ hồng.,,,,
https://batdongsan.com.vn/ban-nha-rieng-phuong-phu-my-9/-5x34-cong-nhan-170m2-hxh-tranh-q7-gia-chi-nhinh-8-ty-pr44275170,"167,5 m²",,,"8,9 tỷ",5 m,Cơ bản,Sổ đỏ/ Sổ hồng,8 phòng,8 phòng,1 tầng,6 m
https://batdongsan.com.vn/ban-dat-duong-nguyen-van-bua-xa-xuan-thoi-son/ket-tien-can-ban-lo-80m2-hm-so-hong-rieng-gia-1-8-ty-pr44228019,80 m²,,,"1,8 tỷ",,,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/cap-nhat-gio-hang-gia-tot-1pn-5ty2-2pn-7ty3-3pn-11ty-4pn-18ty-park-pr43917691,83 m²,Nam,Đông,"7,99 tỷ",,Đầy đủ.,Sổ đỏ/ Sổ hồng.,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/-ban-gap-nhieu-1pn-2pn-3pn-4pn-shophouse-da-co-so-hong-tai-0901511155-pr36227388,128 m²,,,13 tỷ,,Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/mo-ban-can-re-nhat-va-nhan-booking-chon-can-dep-theo-dung-y-khach-hang-lh-em-hung-pr44283895,120 m²,,,Thỏa thuận,,,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/tong-hop-chi-tiet-83-can-song-lap-don-lap-vi-tri-dep-va-gia-tot-gia-truc-tiep-cdt-pr44362386,75 m²,,,10 tỷ,,,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/quy-can-an-song-lap-don-lap-can-gio-mua-truc-tiep-cdt-pr44375780,189 m²,,,Thỏa thuận,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-luu-phuong-long-truong-prj-chung-cu-mt-eastmark-city/-18-10-2025-ban-giao-trc-tet-mua-truc-tiep-cdt-1pn-3-1-ty-2pn-3-6-ty-3pn-4-45ty-pr44314240,63 m²,,,"3,1 tỷ",,Cơ bản,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vanh-dai-3-phuong-long-truong-prj-chung-cu-mt-eastmark-city/so-huu-ngay-can-cao-cap-trung-tam-q9-chi-41tr-m2-65m2-2ty650-da-co-so-ng-tro-vay-nh-1-2-3pn-pr44033432,65 m²,,,"2,95 tỷ",,,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/phan-tich-gia-csbh-tung-ori-bs-gh-be-opus-quy-hang-noi-bo-sieu-tot-vinmes-park-pr42806014,59 m²,,,"2,6 tỷ",,,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/suat-ngoai-giao-can-gio-uu-dai-chiet-khau-18-vi-tri-sieu-dep-lh-chu-dau-tu-pr43991493,200 m²,,,Thỏa thuận,,,,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-phan-van-suu-phuong-13-10/ban-2-tien-lo-goc-cai-tao-dong-tien-80-90tr-thang-ngay-tai-tan-binh-pr43082998,76 m²,,Tây - Nam,"13,6 tỷ","11,5 m",Cơ bản,Sổ đỏ/ Sổ hồng,8 phòng,7 phòng,5 tầng,8 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-prj-masteri-centre-point/gio-hang-vip-mua-cdt-gia-1pn-3-2-ty-2pn-3-8-ty-view-noi-khu-toa-b-ngay-vincom-vinschool-pr43538652,74 m²,,,"3,9 tỷ",,Cơ bản,Hợp đồng mua bán,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/chu-nha-gui-ban-lo-3pn-vinmes-gia-chi-2-7-ty-con-thuong-luong-pr38809002,82 m²,,,Thỏa thuận,,,,3 phòng,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-bui-thi-xuan-phuong-3-22/-dep-tan-binh-sieu-sat-san-bay-o-suong-cho-thue-co-dong-tien-san-moi-thang-pr44374103,"74,9 m²",,,"3,45 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,3 tầng,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/tong-p-100-vinmes-landmark-81-gia-tot-nhat-lh-ngay-pr44341788,89 m²,,,"7,96 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-luu-phuong-long-truong-prj-chung-cu-mt-eastmark-city/ro-hang-ban-hon-100-65m2-2-5-ty-75m2-gia-2-9-ty-100m2-gia-4-ty-co-day-du-dien-tich-va-huong-pr42212569,65 m²,,,3 tỷ,,Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/gio-hang-chinh-sach-uu-dai-thang-ngau-cua-chu-dau-tu-tru-100tr-vao-gia-ban-pr44038321,59 m²,Đông - Nam,,"3,12 tỷ",,,,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lo-lu-phuong-truong-thanh-prj-chung-cu-elysian/chinh-thuc-nhan-booking-thap-b-gia-chi-72-trieu-m2-dac-biet-toan-chi-10-den-nhan-nha-pr44265756,68 m²,,,72 triệu/m²,,Cơ bản,Hợp đồng mua bán,2 phòng,2 phòng,,
